"Reported_Date","Region","Institution","Total_Active_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Resolved_Inmate_Cases_As_Of_Reported_Date","Cumul_Nr_Positive_Released_Inmate_Cases_As_Of_Reported_Date"
"2020-07-20","Northern","Monteith Correctional Centre",,1,
"2020-07-20","Central","Maplehurst Correctional Complex",,6,3
"2020-07-20","Central","Ontario Correctional Institute",,89,2
"2020-07-20","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-20","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-20","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-20","Eastern","Central East Correctional Centre",,1,1
"2020-07-20","Central","Niagara Detention Centre",,,1
"2020-07-20","Western","Central North Correctional Centre",,1,1
"2020-07-20","Northern","Kenora Jail",,2,
"2020-07-20","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-21","Northern","Monteith Correctional Centre",,1,
"2020-07-21","Central","Maplehurst Correctional Complex",,6,3
"2020-07-21","Central","Ontario Correctional Institute",,89,2
"2020-07-21","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-21","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-21","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-21","Eastern","Central East Correctional Centre",,1,1
"2020-07-21","Central","Niagara Detention Centre",,,1
"2020-07-21","Western","Central North Correctional Centre",,1,1
"2020-07-21","Northern","Kenora Jail",,2,
"2020-07-21","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-22","Northern","Monteith Correctional Centre",,1,
"2020-07-22","Central","Maplehurst Correctional Complex",,6,3
"2020-07-22","Central","Ontario Correctional Institute",,89,2
"2020-07-22","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-22","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-22","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-22","Eastern","Central East Correctional Centre",,1,1
"2020-07-22","Central","Niagara Detention Centre",,,1
"2020-07-22","Western","Central North Correctional Centre",,1,1
"2020-07-22","Northern","Kenora Jail",,2,
"2020-07-22","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-23","Northern","Monteith Correctional Centre",,1,
"2020-07-23","Central","Maplehurst Correctional Complex",,6,3
"2020-07-23","Central","Ontario Correctional Institute",,89,2
"2020-07-23","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-23","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-23","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-23","Eastern","Central East Correctional Centre",,1,1
"2020-07-23","Central","Niagara Detention Centre",,,1
"2020-07-23","Western","Central North Correctional Centre",,1,1
"2020-07-23","Northern","Kenora Jail",,2,
"2020-07-23","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-26","Northern","Monteith Correctional Centre",,1,
"2020-07-26","Central","Maplehurst Correctional Complex",,6,3
"2020-07-26","Central","Ontario Correctional Institute",,89,2
"2020-07-26","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-26","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-26","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-26","Eastern","Central East Correctional Centre",,1,1
"2020-07-26","Central","Niagara Detention Centre",,,1
"2020-07-26","Western","Central North Correctional Centre",,1,1
"2020-07-26","Northern","Kenora Jail",,2,
"2020-07-26","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-27","Northern","Monteith Correctional Centre",,1,
"2020-07-27","Central","Maplehurst Correctional Complex",,6,3
"2020-07-27","Central","Ontario Correctional Institute",,89,2
"2020-07-27","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-27","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-27","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-27","Eastern","Central East Correctional Centre",,1,1
"2020-07-27","Central","Niagara Detention Centre",,,1
"2020-07-27","Western","Central North Correctional Centre",,1,1
"2020-07-27","Northern","Kenora Jail",,2,
"2020-07-27","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-28","Northern","Monteith Correctional Centre",,1,
"2020-07-28","Central","Maplehurst Correctional Complex",,6,3
"2020-07-28","Central","Ontario Correctional Institute",,89,2
"2020-07-28","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-28","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-28","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-28","Eastern","Central East Correctional Centre",,1,1
"2020-07-28","Central","Niagara Detention Centre",,,1
"2020-07-28","Western","Central North Correctional Centre",,1,1
"2020-07-28","Northern","Kenora Jail",,2,
"2020-07-28","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-29","Northern","Monteith Correctional Centre",,1,
"2020-07-29","Central","Maplehurst Correctional Complex",,6,3
"2020-07-29","Central","Ontario Correctional Institute",,89,2
"2020-07-29","Toronto","Toronto South Detention Centre",1,10,7
"2020-07-29","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-29","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-29","Eastern","Central East Correctional Centre",,1,1
"2020-07-29","Central","Niagara Detention Centre",,,1
"2020-07-29","Western","Central North Correctional Centre",,1,1
"2020-07-29","Northern","Kenora Jail",,2,
"2020-07-29","Western","Elgin-Middlesex Det. Centre",,1,
"2020-07-30","Northern","Monteith Correctional Centre",,1,
"2020-07-30","Central","Maplehurst Correctional Complex",,6,3
"2020-07-30","Central","Ontario Correctional Institute",,89,2
"2020-07-30","Toronto","Toronto South Detention Centre",,11,7
"2020-07-30","Central","Milton-Vanier Centre For Women",,1,3
"2020-07-30","Central","Hamilton Wentworth Det Centre",,1,
"2020-07-30","Eastern","Central East Correctional Centre",,1,1
"2020-07-30","Central","Niagara Detention Centre",,,1
"2020-07-30","Western","Central North Correctional Centre",,1,1
"2020-07-30","Northern","Kenora Jail",,2,
"2020-07-30","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-03","Northern","Monteith Correctional Centre",,1,
"2020-08-03","Central","Maplehurst Correctional Complex",,6,3
"2020-08-03","Central","Ontario Correctional Institute",,89,2
"2020-08-03","Toronto","Toronto South Detention Centre",,11,7
"2020-08-03","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-03","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-03","Eastern","Central East Correctional Centre",,1,1
"2020-08-03","Central","Niagara Detention Centre",,,1
"2020-08-03","Western","Central North Correctional Centre",,1,1
"2020-08-03","Northern","Kenora Jail",,2,
"2020-08-03","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-04","Northern","Monteith Correctional Centre",,1,
"2020-08-04","Central","Maplehurst Correctional Complex",,6,3
"2020-08-04","Central","Ontario Correctional Institute",,89,2
"2020-08-04","Toronto","Toronto South Detention Centre",,11,7
"2020-08-04","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-04","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-04","Eastern","Central East Correctional Centre",,1,1
"2020-08-04","Central","Niagara Detention Centre",,,1
"2020-08-04","Western","Central North Correctional Centre",,1,1
"2020-08-04","Northern","Kenora Jail",,2,
"2020-08-04","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-05","Northern","Monteith Correctional Centre",,1,
"2020-08-05","Central","Maplehurst Correctional Complex",,6,3
"2020-08-05","Central","Ontario Correctional Institute",,89,2
"2020-08-05","Toronto","Toronto South Detention Centre",,11,7
"2020-08-05","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-05","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-05","Eastern","Central East Correctional Centre",,1,1
"2020-08-05","Central","Niagara Detention Centre",1,,1
"2020-08-05","Western","Central North Correctional Centre",,1,1
"2020-08-05","Northern","Kenora Jail",,2,
"2020-08-05","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-06","Northern","Monteith Correctional Centre",,1,
"2020-08-06","Central","Maplehurst Correctional Complex",,6,3
"2020-08-06","Central","Ontario Correctional Institute",,89,2
"2020-08-06","Toronto","Toronto South Detention Centre",,11,7
"2020-08-06","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-06","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-06","Eastern","Central East Correctional Centre",,1,1
"2020-08-06","Central","Niagara Detention Centre",1,,1
"2020-08-06","Western","Central North Correctional Centre",,1,1
"2020-08-06","Northern","Kenora Jail",,2,
"2020-08-06","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-09","Northern","Monteith Correctional Centre",,1,
"2020-08-09","Central","Maplehurst Correctional Complex",,6,3
"2020-08-09","Central","Ontario Correctional Institute",,89,2
"2020-08-09","Toronto","Toronto South Detention Centre",,11,7
"2020-08-09","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-09","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-09","Eastern","Central East Correctional Centre",1,1,1
"2020-08-09","Central","Niagara Detention Centre",1,,1
"2020-08-09","Western","Central North Correctional Centre",,1,1
"2020-08-09","Northern","Kenora Jail",,2,
"2020-08-09","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-10","Northern","Monteith Correctional Centre",,1,
"2020-08-10","Central","Maplehurst Correctional Complex",,6,3
"2020-08-10","Central","Ontario Correctional Institute",,89,2
"2020-08-10","Toronto","Toronto South Detention Centre",,11,7
"2020-08-10","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-10","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-10","Eastern","Central East Correctional Centre",1,1,1
"2020-08-10","Central","Niagara Detention Centre",1,,1
"2020-08-10","Western","Central North Correctional Centre",,1,1
"2020-08-10","Northern","Kenora Jail",,2,
"2020-08-10","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-11","Northern","Monteith Correctional Centre",,1,
"2020-08-11","Central","Maplehurst Correctional Complex",,6,3
"2020-08-11","Central","Ontario Correctional Institute",,89,2
"2020-08-11","Toronto","Toronto South Detention Centre",,11,7
"2020-08-11","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-11","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-11","Eastern","Central East Correctional Centre",,1,2
"2020-08-11","Central","Niagara Detention Centre",1,,1
"2020-08-11","Western","Central North Correctional Centre",,1,1
"2020-08-11","Northern","Kenora Jail",,2,
"2020-08-11","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-12","Northern","Monteith Correctional Centre",,1,
"2020-08-12","Central","Maplehurst Correctional Complex",,6,3
"2020-08-12","Central","Ontario Correctional Institute",,89,2
"2020-08-12","Toronto","Toronto South Detention Centre",,11,7
"2020-08-12","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-12","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-12","Eastern","Central East Correctional Centre",,1,2
"2020-08-12","Central","Niagara Detention Centre",1,,1
"2020-08-12","Western","Central North Correctional Centre",,1,1
"2020-08-12","Northern","Kenora Jail",,2,
"2020-08-12","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-13","Northern","Monteith Correctional Centre",,1,
"2020-08-13","Central","Maplehurst Correctional Complex",,6,3
"2020-08-13","Central","Ontario Correctional Institute",,89,2
"2020-08-13","Toronto","Toronto South Detention Centre",,11,7
"2020-08-13","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-13","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-13","Eastern","Central East Correctional Centre",,1,2
"2020-08-13","Central","Niagara Detention Centre",,1,1
"2020-08-13","Western","Central North Correctional Centre",,1,1
"2020-08-13","Northern","Kenora Jail",,2,
"2020-08-13","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-16","Northern","Monteith Correctional Centre",,1,
"2020-08-16","Central","Maplehurst Correctional Complex",,6,3
"2020-08-16","Central","Ontario Correctional Institute",,89,2
"2020-08-16","Toronto","Toronto South Detention Centre",,11,7
"2020-08-16","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-16","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-16","Eastern","Central East Correctional Centre",,1,2
"2020-08-16","Central","Niagara Detention Centre",,1,1
"2020-08-16","Western","Central North Correctional Centre",,1,1
"2020-08-16","Northern","Kenora Jail",,2,
"2020-08-16","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-17","Northern","Monteith Correctional Centre",,1,
"2020-08-17","Central","Maplehurst Correctional Complex",,6,3
"2020-08-17","Central","Ontario Correctional Institute",,89,2
"2020-08-17","Toronto","Toronto South Detention Centre",,11,7
"2020-08-17","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-17","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-17","Eastern","Central East Correctional Centre",,1,2
"2020-08-17","Central","Niagara Detention Centre",,1,1
"2020-08-17","Western","Central North Correctional Centre",,1,1
"2020-08-17","Northern","Kenora Jail",,2,
"2020-08-17","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-17","Western","Ottawa Carleton Detention Centre",1,,
"2020-08-18","Northern","Monteith Correctional Centre",,1,
"2020-08-18","Central","Maplehurst Correctional Complex",,6,3
"2020-08-18","Central","Ontario Correctional Institute",,89,2
"2020-08-18","Toronto","Toronto South Detention Centre",,11,7
"2020-08-18","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-18","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-18","Eastern","Central East Correctional Centre",,1,2
"2020-08-18","Central","Niagara Detention Centre",,1,1
"2020-08-18","Western","Central North Correctional Centre",,1,1
"2020-08-18","Northern","Kenora Jail",,2,
"2020-08-18","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-18","Western","Ottawa Carleton Detention Centre",,,1
"2020-08-19","Northern","Monteith Correctional Centre",,1,
"2020-08-19","Central","Maplehurst Correctional Complex",,6,3
"2020-08-19","Central","Ontario Correctional Institute",,89,2
"2020-08-19","Toronto","Toronto South Detention Centre",,11,7
"2020-08-19","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-19","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-19","Eastern","Central East Correctional Centre",,1,2
"2020-08-19","Central","Niagara Detention Centre",,1,1
"2020-08-19","Western","Central North Correctional Centre",,1,1
"2020-08-19","Northern","Kenora Jail",,2,
"2020-08-19","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-19","Western","Ottawa Carleton Detention Centre",,,1
"2020-08-20","Northern","Monteith Correctional Centre",,1,
"2020-08-20","Central","Maplehurst Correctional Complex",,6,3
"2020-08-20","Central","Ontario Correctional Institute",,89,2
"2020-08-20","Toronto","Toronto South Detention Centre",,11,7
"2020-08-20","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-20","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-20","Eastern","Central East Correctional Centre",,1,2
"2020-08-20","Central","Niagara Detention Centre",,1,1
"2020-08-20","Western","Central North Correctional Centre",,1,1
"2020-08-20","Northern","Kenora Jail",,2,
"2020-08-20","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-20","Western","Ottawa Carleton Detention Centre",,,1
"2020-08-23","Northern","Monteith Correctional Centre",,1,
"2020-08-23","Central","Maplehurst Correctional Complex",,6,3
"2020-08-23","Central","Ontario Correctional Institute",,89,2
"2020-08-23","Toronto","Toronto South Detention Centre",1,11,7
"2020-08-23","Central","Milton-Vanier Centre For Women",,1,3
"2020-08-23","Central","Hamilton Wentworth Det Centre",,1,
"2020-08-23","Eastern","Central East Correctional Centre",,1,2
"2020-08-23","Central","Niagara Detention Centre",,1,1
"2020-08-23","Western","Central North Correctional Centre",,1,1
"2020-08-23","Northern","Kenora Jail",,2,
"2020-08-23","Western","Elgin-Middlesex Det. Centre",,1,
"2020-08-23","Western","Ottawa Carleton Detention Centre",,,1
"2020-08-24","Northern","Monteith Correctional Centre",,1,
"2020-08-24","Central","Maplehurst Correctional Complex",,6,3
